alias,office_code,office_name,confidence,support,total,all_votes,example_registration_id
小坝镇,QTX_XIAOBA,小坝市场监管所,0.5357,15,28,"{""裕民市场监管所"": 13, ""小坝市场监管所"": 15}",51640300002024111500000001
青铜峡市小坝镇,QTX_XIAOBA,小坝市场监管所,0.5,14,28,"{""小坝市场监管所"": 14, ""裕民市场监管所"": 14}",51640300002024123000000024
古峡东街,QTX_XIAOBA,小坝市场监管所,0.75,6,8,"{""小坝市场监管所"": 6, ""裕民市场监管所"": 2}",51640300002024112500000003
蜜雪冰城,QTX_YUMIN,裕民市场监管所,0.6,3,5,"{""裕民市场监管所"": 3, ""小坝市场监管所"": 2}",51640300002025100300000014
青铜峡市古峡东街,QTX_XIAOBA,小坝市场监管所,0.6,3,5,"{""小坝市场监管所"": 3, ""裕民市场监管所"": 2}",51640300002024112500000003
",青铜峡市",QTX_HEDONG,河东市场监管所,0.5,2,4,"{""瞿靖市场监管所"": 1, ""裕民市场监管所"": 1, ""河东市场监管所"": 2}",1640381002025111257550342
小坝镇南市场,QTX_XIAOBA,小坝市场监管所,0.5,2,4,"{""小坝市场监管所"": 2, ""裕民市场监管所"": 2}",51640300002024123000000024
新百电器,QTX_YUMIN,裕民市场监管所,0.75,3,4,"{""裕民市场监管所"": 3, ""小坝市场监管所"": 1}",51640300002024103100000025
"青铜峡市,青铜峡市",QTX_HEDONG,河东市场监管所,0.5,2,4,"{""瞿靖市场监管所"": 1, ""裕民市场监管所"": 1, ""河东市场监管所"": 2}",1640381002025111257550342
青铜峡市小坝,QTX_YUMIN,裕民市场监管所,0.75,3,4,"{""裕民市场监管所"": 3, ""小坝市场监管所"": 1}",51640300002024122700000002
青铜峡市小坝镇南市场,QTX_XIAOBA,小坝市场监管所,0.5,2,4,"{""小坝市场监管所"": 2, ""裕民市场监管所"": 2}",51640300002024123000000024
青铜峡市裕民街道古峡东街,QTX_YUMIN,裕民市场监管所,0.75,3,4,"{""裕民市场监管所"": 3, ""小坝市场监管所"": 1}",51640300002024122500000029
五里关火锅店,QTX_XIAOBA,小坝市场监管所,0.6667,2,3,"{""裕民市场监管所"": 1, ""小坝市场监管所"": 2}",51640300002024112500000009
小坝,QTX_YUMIN,裕民市场监管所,0.6667,2,3,"{""小坝市场监管所"": 1, ""裕民市场监管所"": 2}",51640300002025072900000034
新百超市,QTX_YUMIN,裕民市场监管所,0.3333,1,3,"{""裕民市场监管所"": 1, ""大坝市场监管所"": 1, ""小坝市场监管所"": 1}",51640300002024111300000006
永丰北街,QTX_YUMIN,裕民市场监管所,0.6667,2,3,"{""小坝市场监管所"": 1, ""裕民市场监管所"": 2}",51640300002025043000000063
汉坝西街,QTX_YUMIN,裕民市场监管所,0.6667,2,3,"{""裕民市场监管所"": 2, ""小坝市场监管所"": 1}",51640300002024112500000016
青铜峡市永丰北街,QTX_YUMIN,裕民市场监管所,0.6667,2,3,"{""小坝市场监管所"": 1, ""裕民市场监管所"": 2}",51640300002025043000000063
青铜峡市汉坝西街,QTX_YUMIN,裕民市场监管所,0.6667,2,3,"{""裕民市场监管所"": 2, ""小坝市场监管所"": 1}",51640300002024112500000016
青铜峡市青铜峡市,QTX_HEDONG,河东市场监管所,0.6667,2,3,"{""裕民市场监管所"": 1, ""河东市场监管所"": 2}",1640381002025111106876783
青铜峡市青铜峡镇,QTX_HEXI,河西市场监管所,0.6667,2,3,"{""河西市场监管所"": 2, ""河东市场监管所"": 1}",51640300002024090200000005
",null",QTX_YUMIN,裕民市场监管所,0.5,1,2,"{""裕民市场监管所"": 1, ""小坝市场监管所"": 1}",1640381002024120261299221
古峡西街205号,QTX_XIAOBA,小坝市场监管所,0.5,1,2,"{""小坝市场监管所"": 1, ""裕民市场监管所"": 1}",51640300002025120800000019
嘉宝工业园区,QTX_XIAOBA,小坝市场监管所,0.5,1,2,"{""小坝市场监管所"": 1, ""裕民市场监管所"": 1}",51640300002024080800000034
学府壹号四期21幢2-7-02071,QTX_XIAOBA,小坝市场监管所,0.5,1,2,"{""小坝市场监管所"": 1, ""裕民市场监管所"": 1}",1640381002025051504200803
小赵车行,QTX_DABA,大坝市场监管所,0.5,1,2,"{""大坝市场监管所"": 1, ""小坝市场监管所"": 1}",51640300002024120200000022
李华家政服务部,QTX_HEDONG,河东市场监管所,0.5,1,2,"{""河东市场监管所"": 1, ""裕民市场监管所"": 1}",51640300002025050800000014
步行街中国黄金对面,QTX_XIAOBA,小坝市场监管所,0.5,1,2,"{""小坝市场监管所"": 1, ""裕民市场监管所"": 1}",51640300002025040400000021
海润生活超市,QTX_HEXI,河西市场监管所,0.5,1,2,"{""河西市场监管所"": 1, ""小坝市场监管所"": 1}",51640300002025103100000036
裕民街道建民南路与古峡西街交叉口南160米,QTX_XIAOBA,小坝市场监管所,0.5,1,2,"{""小坝市场监管所"": 1, ""裕民市场监管所"": 1}",51640300002024112000000047
裕民街道张岗市场4号楼,QTX_YUMIN,裕民市场监管所,0.5,1,2,"{""裕民市场监管所"": 1, ""小坝市场监管所"": 1}",51640300002024111500000061
雅迪电动车,QTX_HEXI,河西市场监管所,0.5,1,2,"{""河西市场监管所"": 1, ""裕民市场监管所"": 1}",51640300002024090200000007
"青铜峡市,null",QTX_YUMIN,裕民市场监管所,0.5,1,2,"{""裕民市场监管所"": 1, ""小坝市场监管所"": 1}",1640381002024120261299221
青铜峡市华玉阁玉器店,QTX_XIAOBA,小坝市场监管所,0.5,1,2,"{""小坝市场监管所"": 1, ""裕民市场监管所"": 1}",51640300002024111500000001
青铜峡市古峡西街205号,QTX_XIAOBA,小坝市场监管所,0.5,1,2,"{""小坝市场监管所"": 1, ""裕民市场监管所"": 1}",51640300002025120800000019
青铜峡市嘉宝工业园区,QTX_XIAOBA,小坝市场监管所,0.5,1,2,"{""小坝市场监管所"": 1, ""裕民市场监管所"": 1}",51640300002024080800000034
青铜峡市学府壹号四期21幢2-7-02071,QTX_XIAOBA,小坝市场监管所,0.5,1,2,"{""小坝市场监管所"": 1, ""裕民市场监管所"": 1}",1640381002025051504200803
